书名,信息,评分,评价数,金句
芳华,严歌苓/人民文学出版社/2017-4-1/39.00元,8.1,28086人评价,空
海子的诗,海子/人民文学出版社/1999-04/15.40,8.9,25424人评价,空
长安十二时辰上,马伯庸/湖南文艺出版社/2017-1-1/CNY79.60,8.4,28009人评价,空
设计中的设计,[日]原研哉/朱锷/山东人民出版社/2006-11/48.00元,8.6,26390人评价,日常生活的无限可能性
我的精神家园,王小波/文化艺术出版社/1997/18.80元,9.1,24744人评价,活过，爱过，写过
心是孤独的猎手,[美]卡森·麦卡勒斯/陈笑黎/上海三联书店/2005-8/25.00元,8.5,26509人评价,镇上有两个哑巴，他们总是在一起。
哈姆莱特,[英]莎士比亚/朱生豪/人民文学出版社/2001-1/7.00元,8.5,26295人评价,空
万水千山走遍,三毛/哈尔滨出版社/2003-08/13.80,8.8,25288人评价,空
妻妾成群,苏童/上海文艺出版社/2004-8/23.00元,8.2,27444人评价,空
教父,[美]马里奥·普佐/周汉林/译林出版社/1997-8/23.30元,9.0,24599人评价,空
九州·缥缈录,江南/新世界出版社/2005-6/20.00元,8.8,25041人评价,乱世的英雄史诗
娱乐至死,[美]尼尔·波兹曼/章艳/广西师范大学出版社/2011-6/29.80元,8.5,26213人评价,空
野火集,龙应台/文汇出版社/2005-8/25.00元,8.8,25164人评价,中国人你为什么不生气？
我执,梁文道/广西师范大学出版社/2010-10/35.00元,8.0,27771人评价,梁文道的私密日记
佛祖在一号线,李海鹏/文化艺术出版社/2010-6/25.00元,8.2,26682人评价,嬉笑怒骂的常识分子
斯通纳,[美]约翰·威廉斯/杨向荣/上海人民出版社/2016-1/49.00元,8.8,24484人评价,空
台北人,白先勇/广西师范大学出版社/2010-10/38.00元,8.9,24094人评价,空
雾都孤儿,[英]狄更斯/荣如德/上海译文出版社/1991-7/10.10元,8.1,26531人评价,空
偷书贼,[澳]马克斯·苏萨克/孙张静/南海出版公司/2007-8/25.00元,8.0,26700人评价,不能说偷，是窃，窃你懂吗
占星术杀人魔法,[日]岛田庄司/王鹏帆/新星出版社/2008-9/28.00,8.3,25282人评价,一桩占星术连续杀人案件
新参者,[日]东野圭吾/岳远坤/南海出版公司/2011-9/28.00元,8.4,25432人评价,空
